car: retangulo: - x:9750.000000 - y:0.000000 - w:11700.000000 - h:2724.000000
cep quadra:b8-1.76, area: 9696.000000
cep quadra:b8-1.77, area: 19392.000000
cep quadra:b8-1.78, area: 29088.000000
cep quadra:b8-1.79, area: 38784.000000
cep quadra:b8-1.80, area: 48480.000000
cep quadra:b8-1.81, area: 58176.000000
cep quadra:b8-1.82, area: 67872.000000
cep quadra:b8-1.83, area: 77568.000000
cep quadra:b8-1.84, area: 87264.000000
cep quadra:b8-1.85, area: 96960.000000
cep quadra:b8-1.86, area: 106656.000000
cep quadra:b8-1.87, area: 116352.000000
cep quadra:b8-1.88, area: 126048.000000
cep quadra:b8-1.89, area: 135744.000000
cep quadra:b8-1.90, area: 145440.000000
cep quadra:b8-1.91, area: 155136.000000
cep quadra:b8-1.92, area: 164832.000000
cep quadra:b8-1.93, area: 174528.000000
cep quadra:b8-1.94, area: 184224.000000
cep quadra:b8-1.95, area: 193920.000000
cep quadra:b8-1.96, area: 203616.000000
cep quadra:b8-1.97, area: 213312.000000
cep quadra:b8-1.98, area: 223008.000000
cep quadra:b8-1.99, area: 232704.000000
cep quadra:b8-1.100, area: 242400.000000
cep quadra:b8-1.101, area: 252096.000000
cep quadra:b8-1.102, area: 261792.000000
cep quadra:b8-1.103, area: 271488.000000
cep quadra:b8-1.104, area: 281184.000000
cep quadra:b8-1.105, area: 290880.000000
cep quadra:b8-1.106, area: 300576.000000
cep quadra:b8-1.107, area: 310272.000000
cep quadra:b8-1.108, area: 319968.000000
cep quadra:b8-1.109, area: 329664.000000
cep quadra:b8-1.110, area: 339360.000000
cep quadra:b8-1.111, area: 349056.000000
cep quadra:b8-1.112, area: 358752.000000
cep quadra:b8-1.113, area: 368448.000000
cep quadra:b8-1.114, area: 378144.000000
cep quadra:b8-1.115, area: 387840.000000
cep quadra:b8-1.116, area: 397536.000000
cep quadra:b8-1.117, area: 407232.000000
cep quadra:b8-1.118, area: 416928.000000
cep quadra:b8-1.119, area: 426624.000000
cep quadra:b8-1.120, area: 436320.000000
cep quadra:b8-1.121, area: 446016.000000
cep quadra:b8-1.122, area: 455712.000000
cep quadra:b8-1.123, area: 465408.000000
cep quadra:b8-1.124, area: 475104.000000
cep quadra:b8-1.125, area: 484800.000000
cep quadra:b8-1.126, area: 494496.000000
cep quadra:b8-1.127, area: 504192.000000
cep quadra:b8-1.128, area: 513888.000000
cep quadra:b8-1.129, area: 523584.000000
cep quadra:b8-1.130, area: 533280.000000
cep quadra:b8-1.131, area: 542976.000000
cep quadra:b8-1.132, area: 552672.000000
cep quadra:b8-1.133, area: 562368.000000
cep quadra:b8-1.134, area: 572064.000000
cep quadra:b8-1.135, area: 581760.000000
cep quadra:b8-1.136, area: 591456.000000
cep quadra:b8-1.137, area: 601152.000000
cep quadra:b8-1.138, area: 610848.000000
cep quadra:b8-1.139, area: 620544.000000
cep quadra:b8-1.140, area: 630240.000000
cep quadra:b8-1.141, area: 639936.000000
cep quadra:b8-1.142, area: 649632.000000
cep quadra:b8-1.143, area: 659328.000000
cep quadra:b8-1.144, area: 669024.000000
cep quadra:b8-1.145, area: 678720.000000
cep quadra:b8-1.146, area: 688416.000000
cep quadra:b8-1.147, area: 698112.000000
cep quadra:b8-1.148, area: 707808.000000
cep quadra:b8-1.149, area: 717504.000000
cep quadra:b8-1.150, area: 727200.000000
cep quadra:b8-1.151, area: 736896.000000
cep quadra:b8-1.152, area: 746592.000000
cep quadra:b8-1.153, area: 756288.000000
cep quadra:b8-1.154, area: 765984.000000
cep quadra:b8-1.155, area: 775680.000000
cep quadra:b8-1.156, area: 785376.000000
cep quadra:b8-1.157, area: 795072.000000
cep quadra:b8-1.158, area: 804768.000000
cep quadra:b8-1.159, area: 814464.000000
cep quadra:b8-1.160, area: 824160.000000
cep quadra:b8-1.161, area: 833856.000000
cep quadra:b8-1.162, area: 843552.000000
cep quadra:b8-1.163, area: 853248.000000
cep quadra:b8-1.164, area: 862944.000000
cep quadra:b8-2.76, area: 872640.000000
cep quadra:b8-2.77, area: 882336.000000
cep quadra:b8-2.78, area: 892032.000000
cep quadra:b8-2.79, area: 901728.000000
cep quadra:b8-2.80, area: 911424.000000
cep quadra:b8-2.81, area: 921120.000000
cep quadra:b8-2.82, area: 930816.000000
cep quadra:b8-2.83, area: 940512.000000
cep quadra:b8-2.84, area: 950208.000000
cep quadra:b8-2.85, area: 959904.000000
cep quadra:b8-2.86, area: 969600.000000
cep quadra:b8-2.87, area: 979296.000000
cep quadra:b8-2.88, area: 988992.000000
cep quadra:b8-2.89, area: 998688.000000
cep quadra:b8-2.90, area: 1008384.000000
cep quadra:b8-2.91, area: 1018080.000000
cep quadra:b8-2.92, area: 1027776.000000
cep quadra:b8-2.93, area: 1037472.000000
cep quadra:b8-2.94, area: 1047168.000000
cep quadra:b8-2.95, area: 1056864.000000
cep quadra:b8-2.96, area: 1066560.000000
cep quadra:b8-2.97, area: 1076256.000000
cep quadra:b8-2.98, area: 1085952.000000
cep quadra:b8-2.99, area: 1095648.000000
cep quadra:b8-2.100, area: 1105344.000000
cep quadra:b8-2.101, area: 1115040.000000
cep quadra:b8-2.102, area: 1124736.000000
cep quadra:b8-2.103, area: 1134432.000000
cep quadra:b8-2.104, area: 1144128.000000
cep quadra:b8-2.105, area: 1153824.000000
cep quadra:b8-2.106, area: 1163520.000000
cep quadra:b8-2.107, area: 1173216.000000
cep quadra:b8-2.108, area: 1182912.000000
cep quadra:b8-2.109, area: 1192608.000000
